year,weighted_forecast,weighted_lower_ci,weighted_upper_ci
2025,260577872007.34784,203769495134.29956,318997407523.8358
2026,260768017304.3064,188487719820.5483,335130612571.54236
2027,260733553993.98056,174946099539.9163,349014707467.6638
