year,scenario,tariff_change,predicted_gdp_growth,predicted_unemployment,description
2025,Baseline,0,-30.91557595247332,4.106000000000002,Current policies continue
2026,Baseline,0,-30.91557595247332,4.106000000000002,Current policies continue
2027,Baseline,0,-30.91557595247332,4.106000000000002,Current policies continue
