HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
84011000,840110,41,Capital,0,0,5154,0,130024,1718.0,True
84012000,840120,41,Capital,39860,52403,3366,60447,0,31876.33398,True
84013000,840130,41,Capital,0,0,42000,0,0,14000.0,True
84014000,840140,42,Intermediate,0,2772,0,4996,0,924.0,True
84021100,840211,41,Capital,10974,22378904,8692,6770,0,7466190.0,True
84021200,840212,41,Capital,18406,104945,2588,8621,0,41979.66797,True
84021900,840219,41,Capital,393757,142090,773423,187482,51919,436423.3438,True
84022000,840220,41,Capital,2015,28932,446500,580050,0,159149.0,True
84029000,840290,42,Intermediate,29048124,79423296,89269088,19706052,6300688,65913504.0,True
84042000,840420,41,Capital,331190,638622,2302792,418960,17127,1090868.0,True
84049000,840490,42,Intermediate,8226638,8671346,7898616,9941696,146151,8265533.5,True
84051000,840510,41,Capital,440542,340210,2869555,1748444,541438,1216769.0,True
84059000,840590,42,Intermediate,683868,664466,6154629,642808,1601855,2500987.75,True
84061010,840610,41,Capital,0,0,0,0,0,0.0,True
84061090,840610,41,Capital,5433,0,0,0,0,1811.0,True
84068190,840681,41,Capital,0,0,0,0,0,0.0,True
84068290,840682,41,Capital,755000,0,11434,49630,0,255478.0,True
84071000,840710,53,Intermediate,83868,70873,34800,125269,17831,63180.33203,True
84072100,840721,522,Consumption,117382488,119393080,122046504,124087240,25898832,0.0,True
84072900,840729,53,Intermediate,6815578,12135937,13707360,6613341,13800,10886292.0,True
84081000,840810,53,Intermediate,59457,179609,229464,129246,350689,156176.6719,True
84089010,840890,41,Capital,3110325,1740522,1605266,4389402,2649390,2152037.75,True
84089090,840890,41,Capital,100615128,78922032,110194424,110418912,5786091,96577192.0,True
84091000,840910,53,Intermediate,1373851,1032287,995285,441063,141842,1133807.625,True
84101100,841011,41,Capital,71301,73414,5694,176070,0,50136.33203,True
84101200,841012,41,Capital,407028,322000,0,583700,0,243009.3281,True
84101300,841013,41,Capital,0,0,0,0,0,0.0,True
84109000,841090,42,Intermediate,20472452,14178339,16204067,14500606,2058540,16951620.0,True
84111140,841111,53,Intermediate,4166195,0,0,22039,0,1388731.625,True
84111180,841111,53,Intermediate,63423,6568,11729,0,19723,27240.0,True
84111240,841112,53,Intermediate,16651653,19460266,34816592,127792864,31178084,23642836.0,True
84111280,841112,53,Intermediate,86160,103305,0,0,11223,63155.0,True
84112140,841121,53,Intermediate,0,147853,0,10820,0,49284.33203,True
84112180,841121,53,Intermediate,0,0,0,0,0,0.0,True
84112240,841122,53,Intermediate,0,0,0,0,0,0.0,True
84112280,841122,53,Intermediate,0,0,0,0,0,0.0,True
84118140,841181,53,Intermediate,3529400,813562,335105,41520,0,1559355.625,True
84118180,841181,53,Intermediate,0,0,0,0,3492012,0.0,True
84118240,841182,53,Intermediate,0,0,5000000,0,0,1666666.625,True
84118280,841182,53,Intermediate,0,0,1624588,1773932,0,541529.3125,True
84119110,841191,53,Intermediate,3386695,3068893,5880726,3177203,103281,4112104.75,True
84119190,841191,53,Intermediate,291985504,319202912,321174912,345683584,134023096,310787776.0,True
84119910,841199,53,Intermediate,1788200,2798376,4140672,509384,25338,2909082.75,True
84119990,841199,53,Intermediate,197244320,254284336,193878976,146213376,38361340,215135872.0,True
84121000,841210,53,Intermediate,109484,273974,369950,324963,170612,251136.0,True
84122100,841221,41,Capital,133289880,130804712,161250704,195999536,57184412,141781760.0,True
84122940,841229,41,Capital,786424,226194,1845308,1849185,0,952642.0,True
84122980,841229,41,Capital,30320656,37544568,48789016,58061372,15881222,38884748.0,True
84123100,841231,41,Capital,27899580,27464000,32989772,30273778,8652602,29451118.0,True
84123900,841239,41,Capital,15128734,15716658,19237248,26030068,4527876,16694213.0,True
84128010,841280,41,Capital,2177955,2140683,2562410,4867637,1925444,2293682.75,True
84128090,841280,41,Capital,5838318,7369055,9682553,6654798,1136425,7629975.5,True
84129010,841290,42,Intermediate,451635,249495,260869,682515,30988,320666.3438,True
84131900,841319,41,Capital,16932120,18646792,21622556,27037376,2171400,19067156.0,True
84134000,841340,41,Capital,315648,947730,257647,377755,0,507008.3438,True
84135000,841350,41,Capital,294498304,173030896,225330000,213461440,85316152,230953072.0,True
84136000,841360,41,Capital,192006848,143365120,158112768,208857248,66053976,164494912.0,True
84137010,841370,41,Capital,362871,164236,281957,520170,8005,269688.0,True
84137020,841370,41,Capital,367369600,313451264,354740416,376143168,135729056,345187104.0,True
84138100,841381,41,Capital,117864088,116064968,133096552,116183720,30577150,122341872.0,True
84138200,841382,41,Capital,1683214,736117,559289,883982,219260,992873.3125,True
84139110,841391,42,Intermediate,28270052,24095364,13554854,24377180,7338268,21973424.0,True
84139120,841391,42,Intermediate,1463529,849948,383889,762598,244489,899122.0,True
84139190,841391,42,Intermediate,802662656,638247808,803155648,850226432,255383232,748022016.0,True
84143040,841430,41,Capital,51084688,51215788,62564672,13579776,7687490,54955048.0,True
84143080,841430,41,Capital,263942080,301241984,304755008,294942784,118717504,289979680.0,True
84145930,841459,41,Capital,5770927,6978675,7795655,5489741,1283257,6848419.0,True
84148005,841480,41,Capital,19563546,16977616,25641568,30963784,11276701,20727576.0,True
84148020,841480,41,Capital,15705910,13593779,20597340,16101005,4088478,16632343.0,True
84149030,841490,42,Intermediate,50094800,33167266,43585816,35929356,9930084,42282628.0,True
84149041,841490,42,Intermediate,183449712,163345840,209080896,232800080,71181400,185292144.0,True
84149090,841490,42,Intermediate,45925704,37697556,41262728,41685456,10357518,41628664.0,True
84169000,841690,42,Intermediate,39902184,33613896,24360636,22805768,6832268,32625572.0,True
84171000,841710,41,Capital,9849864,9272466,7063890,916578,1345801,8728740.0,True
84178000,841780,41,Capital,5538363,10463130,4473002,5205147,541935,6824831.5,True
84179000,841790,42,Intermediate,13107847,22821084,13367008,16028782,7701100,16431980.0,True
84186901,841869,41,Capital,373210624,431024800,455472000,390790560,87165040,419902464.0,True
84191100,841911,41,Capital,6548625,6353105,7265281,8362975,564233,6722337.0,True
84191900,841919,41,Capital,3692589,4487616,5339624,4180731,1142540,4506609.5,True
84193100,841931,41,Capital,1036178,839790,301315,2161926,394493,725761.0,True
84193210,841932,41,Capital,3140393,447189,352811,834748,252213,1313464.375,True
84193250,841932,41,Capital,297546,393458,146751,965733,107581,279251.6563,True
84193901,841939,41,Capital,19081028,16685099,36391916,17561868,3048902,24052680.0,True
84194000,841940,41,Capital,10631706,4597895,9589908,50780668,2531943,8273169.5,True
84195010,841950,41,Capital,21805102,36585468,22195964,55311120,9621762,26862178.0,True
84195050,841950,41,Capital,94907592,109103520,180876704,191355504,33438428,128295936.0,True
84196050,841960,41,Capital,2772119,26256256,2014468,15459359,5150979,10347614.0,True
84198960,841989,41,Capital,14196,145890,46660,144643,0,68915.33594,True
84199010,841990,42,Intermediate,18920768,14437316,12957336,16524328,2016211,15438473.0,True
84199020,841990,42,Intermediate,1558601,3319972,3062183,1704849,15826752,2646918.75,True
84199030,841990,42,Intermediate,80277768,81434896,65859376,71878184,22908028,75857344.0,True
84199050,841990,42,Intermediate,26343898,4621666,6180514,11988739,3063989,12382026.0,True
84199085,841990,42,Intermediate,269415,1778500,387953,997554,248828,811956.0,True
84199095,841990,42,Intermediate,60147480,54092948,75964280,54647880,16847248,63401568.0,True
84201090,842010,41,Capital,21353358,18709952,24630660,19403034,5533758,21564656.0,True
84209110,842091,42,Intermediate,160587,139463,164812,23450,27600,154954.0,True
84209120,842091,42,Intermediate,0,34870,0,45630,4774,11623.33301,True
84209190,842091,42,Intermediate,1183738,514970,228197,473738,354068,642301.6875,True
84209920,842099,42,Intermediate,124578,84470,73842,55364,2200,94296.66406,True
84209990,842099,42,Intermediate,13042416,10186129,13731419,15857221,3907752,12319988.0,True
84211900,842119,41,Capital,14061938,16368376,18545612,22148766,5573945,16325309.0,True
84212100,842121,41,Capital,292609600,292893408,335257536,313103360,85817440,306920192.0,True
84212200,842122,41,Capital,5689947,1878569,2186127,1513076,424514,3251547.75,True
84212900,842129,41,Capital,92242008,88382176,93616176,98328856,31543288,91413456.0,True
84213940,842139,41,Capital,8062519,5722889,6542628,9644156,4349475,6776012.0,True
84213980,842139,41,Capital,251660608,250541168,296864320,365261600,80257816,266355360.0,True
84219160,842191,42,Intermediate,7035586,7059654,9549265,9795111,3291166,7881501.5,True
84219900,842199,42,Intermediate,239289648,264597680,295995008,285230272,71282128,266627440.0,True
84221900,842219,41,Capital,962888,1226634,2162509,1008293,53338,1450677.0,True
84222000,842220,41,Capital,651024,4611339,1081635,1079164,2123092,2114666.0,True
84223011,842230,41,Capital,474400,439080,537411,277143,147317,483630.3438,True
84223091,842230,41,Capital,117076896,124005792,133085272,130572008,28409098,124722656.0,True
84224011,842240,41,Capital,1173360,1155500,5995125,1818319,89360,2774661.75,True
84224091,842240,41,Capital,24353416,26953078,29264700,34192472,7985110,26857064.0,True
84229006,842290,42,Intermediate,39350636,49390552,52178168,50854712,17491276,46973120.0,True
84229091,842290,42,Intermediate,26089884,25405872,26799436,29119204,4850812,26098398.0,True
84232010,842320,41,Capital,0,76672,275682,337480,73065,117451.3359,True
84232090,842320,41,Capital,0,113274,223232,348777,97252,112168.6641,True
84233000,842330,41,Capital,6928926,9036046,8069961,9460460,1760425,8011644.5,True
84238200,842382,41,Capital,36283452,31888694,26385936,23921636,7643323,31519360.0,True
84238910,842389,41,Capital,0,61447,506793,887531,305153,189413.3281,True
84238990,842389,41,Capital,0,524976,446463,303113,152810,323813.0,True
84239010,842390,42,Intermediate,0,4374803,14022725,16373126,4949291,6132509.5,True
84239090,842390,42,Intermediate,0,9244051,17317128,15731802,3561464,8853726.0,True
84248910,842489,41,Capital,0,5705920,12957092,7905056,896288,6221004.0,True
84249020,842490,42,Intermediate,2394845,2903026,4031950,3071680,659431,3109940.25,True
84251100,842511,41,Capital,38569692,26553264,20883748,12668480,4473409,28668902.0,True
84253901,842539,41,Capital,26886006,30788648,33690580,37367912,12320638,30455078.0,True
84264100,842641,41,Capital,250000,216459,312895,520400,37618,259784.6719,True
84264900,842649,41,Capital,3336133,1702167,140714,33998,9993,1726338.0,True
84269900,842699,41,Capital,5105212,2934876,2126392,35979568,519397,3388826.75,True
84271040,842710,41,Capital,3443792,5402541,11345633,11838548,2007828,6730655.5,True
84271080,842710,41,Capital,70563840,72685064,67493608,101206000,22449452,70247504.0,True
84272040,842720,41,Capital,90713984,87120192,108570416,83202056,14167344,95468200.0,True
84272080,842720,41,Capital,43809336,40239212,25827888,85295048,20453654,36625480.0,True
84282000,842820,41,Capital,2154187,4483369,6532115,5711159,502429,4389890.5,True
84283100,842831,41,Capital,624477,349880,338171,602053,348692,437509.3438,True
84283200,842832,41,Capital,1316123,2039639,806300,953661,255381,1387354.0,True
84283300,842833,41,Capital,6558517,4730679,19438504,14969465,2057505,10242567.0,True
84283900,842839,41,Capital,36936328,33292012,55406040,52283532,14920521,41878128.0,True
84289002,842890,41,Capital,139404368,160308992,176445312,146242272,31284766,158719552.0,True
84291100,842911,41,Capital,1059299,3158282,5068178,1845060,0,3095253.0,True
84291900,842919,41,Capital,27260,165780,220250,276624,0,137763.3281,True
84292000,842920,41,Capital,1708667,1079010,2691300,488342,8489,1826325.625,True
84293000,842930,41,Capital,0,271008,0,0,0,90336.0,True
84294000,842940,41,Capital,38344212,38582328,48258116,57378320,13009078,41728220.0,True
84295110,842951,41,Capital,28786294,20670316,78450024,143422752,70234664,42635544.0,True
84295150,842951,41,Capital,614153,56700,819815,1741290,68941,496889.3438,True
84295210,842952,41,Capital,30877036,44804720,88913008,163630288,90135536,54864920.0,True
84295250,842952,41,Capital,351800,6128362,14460323,10235246,0,6980161.5,True
84295910,842959,41,Capital,1446160,1128340,1840182,1067660,293216,1471560.625,True
84295950,842959,41,Capital,211007,5014041,821565,763261,0,2015537.625,True
84301000,843010,41,Capital,6278448,6287709,5400257,5374689,832244,5988804.5,True
84303100,843031,41,Capital,742917,380000,1573187,4938638,648603,898701.3125,True
84303900,843039,41,Capital,129462,1286271,1781911,4261303,2317073,1065881.375,True
84304100,843041,41,Capital,5037732,3806677,2929311,10000,0,3924573.25,True
84304980,843049,41,Capital,15895627,17427694,17145864,32912646,5790771,16823062.0,True
84305050,843050,41,Capital,101803,6160911,382012,219404,20525556,2214908.75,True
84306100,843061,41,Capital,1212243,1329007,3158720,3141995,1148753,1899990.0,True
84306901,843069,41,Capital,2754586,2781294,5491872,5077756,1711448,3675917.25,True
84311000,843110,42,Intermediate,88852336,83833136,92382304,81746032,20261344,88355928.0,True
84312000,843120,42,Intermediate,270119040,245481808,319205344,381418368,107983904,278268736.0,True
84313100,843131,42,Intermediate,89965736,93221184,99269016,105472800,34971632,94151976.0,True
84313900,843139,42,Intermediate,180163296,152867696,203655168,200489888,56786584,178895392.0,True
84314100,843141,42,Intermediate,48376660,43197376,65211688,97545088,34442652,52261908.0,True
84314200,843142,42,Intermediate,1269304,2095966,3357204,3160280,1121312,2240824.75,True
84314340,843143,42,Intermediate,16714166,8872957,21448658,35968532,1307076,15678594.0,True
84314380,843143,42,Intermediate,152355536,65267940,143497760,169109472,36591440,120373744.0,True
84314910,843149,42,Intermediate,39251364,32166542,37006164,49652264,13304655,36141356.0,True
84314990,843149,42,Intermediate,515560672,489977632,625663488,768825664,262547872,543733952.0,True
