reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share,is_electronics
United States,C840,2024,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.24836060606061,5.572163937314,0.310606363636364,False
United States,C840,2018,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.57111162079511,4.96353720888564,0.313455963302752,False
United States,C840,2019,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.28231804281346,4.92528845921405,0.313455963302752,False
United States,C840,2022,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.15631666666667,4.93878414410161,0.310606363636364,False
United States,C840,2021,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.35037614678899,5.18273816898794,0.313455963302752,False
United States,C840,2020,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.45112232415902,5.5015691452084,0.313455963302752,False
United States,C840,2023,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,A,Live animals and meat,2.10267575757576,5.41641627769788,0.310606363636364,False
United States,C840,2018,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,I,"Cotton, silk and wool",2.18903857142857,1.23257432016666,0.53448,False
United States,C840,2019,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,I,"Cotton, silk and wool",1.7018280952381,1.12286048175926,0.53448,False
United States,C840,2022,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,I,"Cotton, silk and wool",1.66694857142857,1.58608388985032,0.53448,False
United States,C840,2021,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,I,"Cotton, silk and wool",1.84189285714286,1.71387719734748,0.53448,False
United States,C840,2024,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,I,"Cotton, silk and wool",1.61172333333333,1.35489475862628,0.53448,False
United States,C840,2023,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,I,"Cotton, silk and wool",1.48057619047619,1.25515326283088,0.53448,False
