HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
84254200,842542,41,Capital,271308960,248766960,267308576,317296576,102895568,262461504.0,True
84254900,842549,41,Capital,144442256,144736704,164381824,191355776,54226676,151186928.0,True
84263000,842630,41,Capital,16701851,27744168,55642844,47152688,226486,33362954.0,True
84269100,842691,41,Capital,1166039,1663284,2417710,884653,630430,1749011.0,True
84279000,842790,41,Capital,83321592,76000912,80662056,170668736,47462216,79994856.0,True
84284000,842840,41,Capital,28112804,27934652,20921400,33983416,7418852,25656286.0,True
84304940,843049,41,Capital,49387592,217858,15320,0,25260,16540257.0,True
84305010,843050,41,Capital,131790,18800,3500,111899,34700,51363.33203,True
84324100,843241,41,Capital,0,0,3733508,2811029,1321170,1244502.625,True
84339010,843390,42,Intermediate,182830720,169053776,188946672,224426384,68446632,180277056.0,True
84411000,844110,41,Capital,87243528,94924056,137382672,160485296,48911776,106516752.0,True
84425010,844250,42,Intermediate,1868024,2330546,1747695,1779575,329383,1982088.375,True
84431500,844315,41,Capital,290436,1280589,32367,334147,225536,534464.0,True
84431600,844316,41,Capital,487691,575930,606773,6293126,2909629,556798.0,True
84433920,844339,41,Capital,449112,137689,159869,49980,93744,248890.0,True
84433930,844339,41,Capital,139519,108978,9184,637430,33250,85893.66406,True
84433940,844339,41,Capital,4000,4704,0,11030,0,2901.333252,True
84433950,844339,41,Capital,468039,676807,505512,346009,108008,550119.3125,True
84439910,844399,41,Capital,67481656,90586360,70125008,60824872,420678,76064344.0,True
84439930,844399,42,Intermediate,17018552,14691661,13384897,6796368,38810,15031703.0,True
84439935,844399,42,Intermediate,7615131,4736211,5397932,4269139,251528,5916424.5,True
84463050,844630,41,Capital,22730,28600,273630,426324,77273,108320.0,True
84485120,844851,42,Intermediate,0,2160,0,9443,0,720.0,True
84511000,845110,41,Capital,3436023,3506123,2101290,1790786,84452,3014478.75,True
84512100,845121,61,Consumption,2221045,3003380,4291373,9753669,5768683,3171932.75,True
84512900,845129,41,Capital,139588864,15600926,11686010,18071114,7470085,55625268.0,True
84513000,845130,41,Capital,10421115,8079499,8609625,18129322,3716424,9036746.0,True
84514000,845140,41,Capital,1905885,957213,1119826,1153964,32726,1327641.375,True
84515000,845150,41,Capital,11722975,14589179,15165152,21638052,6241940,13825769.0,True
84518000,845180,41,Capital,4346028,3972959,4729345,5223285,1642863,4349444.0,True
84519030,845190,42,Intermediate,2171456,3278466,3437000,4080074,1330069,2962307.25,True
84519060,845190,42,Intermediate,0,2340,29237,6175,4860,10525.66699,True
84519090,845190,42,Intermediate,14041895,15447152,13462853,14839684,4457709,14317300.0,True
84522990,845229,41,Capital,13001462,10753083,11813186,10054857,1030052,11855910.0,True
84542000,845420,41,Capital,3738697,2812148,4397577,6776619,740487,3649474.0,True
84592900,845929,41,Capital,15669214,15695220,19735840,19116370,5887266,17033424.0,True
84595900,845959,41,Capital,5492063,4017334,2698410,3323270,1120048,4069269.0,True
84603900,846039,41,Capital,3606768,4126722,3965847,5045743,1176522,3899779.0,True
84615080,846150,41,Capital,30907708,28185364,24906016,24602064,6041703,27999696.0,True
84652010,846520,41,Capital,0,0,166944,5833835,2418764,55648.0,True
84652050,846520,41,Capital,0,0,30925,326537,4000,10308.33301,True
84652080,846520,41,Capital,0,0,320385,239653,37715,106795.0,True
84659100,846591,41,Capital,228697472,269541600,284190656,319989920,86993336,260809904.0,True
84669110,846691,42,Intermediate,4097461,4751341,9394321,15256690,3817226,6081041.0,True
84669315,846693,42,Intermediate,42718560,33408400,39368576,58771496,19830488,38498512.0,True
