HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
84649001,846490,41,Capital,14231067,16796092,17180312,17353332,3344682,16069157
84651000,846510,41,Capital,3512706,3306413,2716580,3082559,375153,3178566.25
84659200,846592,41,Capital,25372472,28921628,35661132,33733548,7594763,29985078
84659300,846593,41,Capital,21131700,21248976,23958976,22116520,5177669,22113218
84659400,846594,41,Capital,1696583,2822525,2383899,2201939,579079,2301002.25
84659902,846599,41,Capital,0,0,15960813,16187470,3834811,5320271
84661001,846610,42,Intermediate,195615024,202214944,240726976,260128896,71120664,212852320
84662010,846620,42,Intermediate,695025,519535,1415703,1709440,674603,876754.3125
84662080,846620,42,Intermediate,31617860,26859146,25836132,20167884,5157868,28104380
84663010,846630,42,Intermediate,316091,272707,465712,340738,58450,351503.3438
84663060,846630,42,Intermediate,8367029,6877577,6195244,4787709,533438,7146616.5
84669150,846691,42,Intermediate,8975944,8385609,8428130,8022515,2136550,8596561
84669210,846692,42,Intermediate,483130,547769,465664,305782,2174,498854.3438
84669250,846692,42,Intermediate,30585712,27814932,42267132,40248660,11248220,33555924
84669311,846693,42,Intermediate,762500,5283956,2297063,1074659,284179,2781173
84669330,846693,42,Intermediate,477784,991215,902773,824612,243492,790590.6875
84669353,846693,42,Intermediate,3321683,2768091,4757125,5871667,1919857,3615633
84669360,846693,42,Intermediate,172185,973061,1404930,1692516,484531,850058.6875
84669375,846693,42,Intermediate,200439,229093,81680,150979,18269,170404
84669396,846693,42,Intermediate,0,926189,1463027,1959826,500588,796405.3125
84669398,846694,42,Intermediate,0,10920223,30117856,33287344,6321371,13679360
84669420,846694,42,Intermediate,1456394,1098803,1727853,844026,846807,1427683.375
84669440,846694,42,Intermediate,1969372,1101418,1106838,631765,284766,1392542.625
84669465,846694,42,Intermediate,1242504,791270,419134,2049970,349868,817636
84669485,846694,42,Intermediate,20723240,22300890,25175444,25738276,3621378,22733192
84671110,846711,41,Capital,16022486,14869302,15883918,14773412,4705732,15591902
84671150,846711,41,Capital,54380696,48659820,52635224,51712720,12551068,51891912
84682050,846820,41,Capital,541718,259255,765654,516668,129832,522209
84688050,846880,41,Capital,5871334,1985204,1460537,1752339,327649,3105691.75
84717030,847170,41,Capital,2646475,3206551,3453984,3076784,198835,3102336.75
84717040,847170,41,Capital,1363108608,1230128512,884640768,446610912,17802138,1159292672
84717060,847170,41,Capital,457792544,262308720,413091552,306595424,35361388,377730944
84717090,847170,41,Capital,281829888,158979856,181493152,98353784,11173534,207434304
84733020,847330,42,Intermediate,27174012,29764636,29608200,21926692,2448728,28848950
84734010,847340,42,Intermediate,22812860,16526306,9605670,9343716,3130046,16314945
84734086,847340,42,Intermediate,0,31762500,97653480,76941072,10287485,43138660
84735030,847350,42,Intermediate,11564642,10185870,11028842,8584834,803504,10926451
84741000,847410,41,Capital,15469789,11840075,11003315,10576040,4767327,12771060
84742000,847420,41,Capital,12054009,20578372,16141692,13353210,4285392,16258024
84743100,847431,41,Capital,15700119,15153004,17020604,15491567,5114357,15957909
84743200,847432,41,Capital,50000,53936,98810,55113,3580,67582
84743900,847439,41,Capital,887310,3252527,2152803,2378633,796254,2097546.75
84748000,847480,41,Capital,3727528,4495371,3341315,6109160,970218,3854738
84749000,847490,42,Intermediate,131120272,120440872,140671200,152503376,41758388,130744112
84751000,847510,41,Capital,78656,64786,45117,503054,0,62853
84752100,847521,41,Capital,16342,824122,49880,10827,0,296781.3438
84759010,847590,42,Intermediate,90267,247739,175503,1667931,73965,171169.6719
84759090,847590,42,Intermediate,39057072,11170841,16208351,9323055,1902605,22145422
84771030,847710,41,Capital,718061,400128,292044,67334,0,470077.6563
84771040,847710,41,Capital,58950,44500,230935,12900,0,111461.6641
84771090,847710,41,Capital,83251408,112647816,154204128,134399776,20162006,116701120
84772000,847720,41,Capital,6746380,8452759,8727775,13990622,5619719,7975638
84773000,847730,41,Capital,4716409,5828367,9567895,8506586,1316321,6704223.5
84774001,847740,41,Capital,1214593,1688495,2045423,1411876,285430,1649503.625
84775100,847751,41,Capital,13849586,3285484,36494416,12473741,2456332,17876496
84778000,847780,41,Capital,29569052,49819336,78699912,55774016,7098013,52696100
84779025,847790,42,Intermediate,10981071,4929819,6246559,8777542,3198038,7385816.5
84779045,847790,42,Intermediate,1912221,2455499,2951253,4205634,1391923,2439657.75
