HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
2032920,20329,122,Consumption,0,0,0,0,0,0
2032940,20329,122,Consumption,0,0,0,0,0,0
2061000,20610,122,Consumption,0,10518,0,0,0,3506
2081000,20810,122,Consumption,2448575,2531067,3802534,3204054,522293,2927392
2089020,20890,122,Consumption,29652,58141,77700,0,0,55164.33203
2089025,20890,122,Consumption,18524666,14688287,12056940,12986631,2360512,15089964
2101900,21019,122,Consumption,0,10027,0,0,0,3342.333252
3011100,30111,63,Consumption,943735,1269773,1555781,2006446,322118,1256429.625
3011900,30119,63,Consumption,0,0,38458,40903,0,12819.33301
3019100,30191,112,Consumption,0,0,0,0,0,0
3019200,30192,112,Consumption,0,0,0,0,0,0
3019302,30193,112,Consumption,0,0,0,0,0,0
3019401,30194,112,Consumption,0,0,0,0,0,0
3019500,30195,112,Consumption,0,0,0,0,0,0
3019903,30199,112,Consumption,0,0,0,15800,0,0
3021100,30211,112,Consumption,0,0,0,0,0,0
3021300,30213,112,Consumption,71480,880110,501572,0,0,484387.3438
3021400,30214,112,Consumption,0,0,0,0,0,0
3021900,30219,112,Consumption,0,0,0,0,0,0
3022100,30221,112,Consumption,0,0,0,0,0,0
3022200,30222,112,Consumption,0,0,0,0,0,0
3022300,30223,112,Consumption,0,0,34960,28060,219692,11653.33301
3022400,30224,112,Consumption,0,0,0,0,0,0
3022901,30229,112,Consumption,0,84348,73330,34138,0,52559.33203
3023100,30231,112,Consumption,0,0,0,0,0,0
3023200,30232,112,Consumption,0,0,4416,0,0,1472
3023300,30233,112,Consumption,0,0,0,0,0,0
3023400,30234,112,Consumption,0,0,6939,0,0,2313
3023501,30235,112,Consumption,0,0,10061,0,0,3353.666748
3023600,30236,112,Consumption,0,0,0,0,0,0
3023902,30239,112,Consumption,0,0,0,0,0,0
3024100,30241,112,Consumption,0,0,0,0,0,0
3024200,30242,112,Consumption,2478,0,0,0,0,826
3024300,30243,112,Consumption,106464,21750,151493,46965,0,93235.66406
3024400,30244,112,Consumption,0,0,0,0,0,0
3024511,30245,112,Consumption,0,0,0,0,0,0
3024550,30245,112,Consumption,260480,0,398112,934400,269078,219530.6719
3024611,30246,112,Consumption,0,0,0,0,0,0
3024650,30246,112,Consumption,0,0,0,0,0,0
3024700,30247,112,Consumption,5606,0,0,0,0,1868.666626
3024900,30249,112,Consumption,0,0,0,6720,0,0
3025100,30251,112,Consumption,5852,0,0,0,0,1950.666626
3025200,30252,112,Consumption,0,0,0,0,0,0
3025300,30253,112,Consumption,0,0,0,0,0,0
3025411,30254,112,Consumption,0,0,0,0,0,0
3025450,30254,112,Consumption,0,0,0,0,0,0
3025511,30255,112,Consumption,0,0,0,0,0,0
3025550,30255,112,Consumption,0,0,0,0,0,0
3025611,30256,112,Consumption,0,0,0,0,0,0
3025650,30256,112,Consumption,0,0,0,0,0,0
3025911,30259,112,Consumption,0,0,0,0,0,0
3025950,30259,112,Consumption,2015,9672,2847,0,0,4844.666504
3027111,30271,112,Consumption,0,0,0,0,0,0
3027150,30271,112,Consumption,528086,36480,17290,0,0,193952
3027211,30272,112,Consumption,0,0,0,0,0,0
3027250,30272,112,Consumption,0,0,0,0,0,0
3027311,30273,112,Consumption,0,0,0,0,0,0
3027350,30273,112,Consumption,0,0,0,0,0,0
3027400,30274,112,Consumption,0,104680,38350,2100,7000,47676.66797
3027911,30279,112,Consumption,0,0,0,0,0,0
3027950,30279,112,Consumption,0,0,0,0,0,0
3028100,30281,112,Consumption,0,0,0,0,0,0
3028200,30282,112,Consumption,0,0,0,0,0,0
3028300,30283,112,Consumption,0,0,0,0,0,0
3028411,30284,112,Consumption,0,0,0,0,0,0
3028450,30284,112,Consumption,0,0,0,206508,0,0
3028511,30285,112,Consumption,0,0,0,0,0,0
3028550,30285,112,Consumption,0,0,0,0,0,0
3028911,30289,112,Consumption,0,0,0,0,0,0
3028950,30289,112,Consumption,25789,564820,583030,775294,122872,391213
3029120,30291,122,Consumption,0,0,0,0,12800,0
3029140,30291,122,Consumption,0,0,0,0,0,0
3029200,30292,112,Consumption,0,0,0,0,0,0
3029900,30299,112,Consumption,0,0,0,0,0,0
3031100,30311,122,Consumption,0,0,0,0,0,0
3031200,30312,122,Consumption,5700140,15646703,17410792,13149226,0,12919212
3031300,30313,122,Consumption,62586,0,0,0,0,20862
3031400,30314,122,Consumption,0,0,0,0,0,0
3031901,30319,122,Consumption,30228,0,0,0,0,10076
3032300,30323,122,Consumption,39445044,38053656,31522280,37316184,7910680,36340328
3032400,30324,122,Consumption,225326,33982,30034,97275,0,96447.33594
3032501,30325,122,Consumption,0,0,0,165449,0,0
3032600,30326,122,Consumption,623950,98225,479425,574501,0,400533.3438
3032901,30329,122,Consumption,0,84620,487994,386400,91080,190871.3281
3033100,30331,122,Consumption,456579,425415,558500,765701,84640,480164.6563
3033200,30332,122,Consumption,0,0,0,0,0,0
3033300,30333,122,Consumption,0,12059,86454,0,0,32837.66797
3033400,30334,122,Consumption,0,0,0,0,0,0
3033901,30339,122,Consumption,219045,396417,417124,684552,209972,344195.3438
3034100,30341,122,Consumption,119710,161231,379876,440041,55000,220272.3281
3034200,30342,122,Consumption,98120,227525,28175,111930,0,117940
3034300,30343,122,Consumption,0,0,0,0,0,0
3034400,30344,122,Consumption,0,0,0,168900,0,0
3034501,30345,122,Consumption,0,0,0,0,0,0
3034600,30346,122,Consumption,0,0,0,0,0,0
3034902,30349,122,Consumption,0,0,0,0,0,0
3035100,30351,122,Consumption,0,0,0,0,0,0
3035300,30353,122,Consumption,65168,22400,95660,163236,3000,61076
3035400,30354,122,Consumption,413036,829306,483100,269380,20133,575147.3125
3035500,30355,122,Consumption,974390,1064297,1093644,1022498,233660,1044110.313
3035600,30356,122,Consumption,0,0,0,0,0,0
3035700,30357,122,Consumption,0,0,0,0,0,0
3035900,30359,122,Consumption,0,0,769954,1082685,41498,256651.3281
3036300,30363,122,Consumption,7179277,12322835,15666978,11052653,69586,11723030
3036400,30364,122,Consumption,37150,86552,191711,0,0,105137.6641
3036500,30365,122,Consumption,0,0,0,0,0,0
3036600,30366,122,Consumption,0,0,0,0,0,0
3036700,30367,122,Consumption,264326,216603,380363,1817760,19093,287097.3438
3036800,30368,122,Consumption,0,0,0,0,0,0
3038100,30381,122,Consumption,0,0,0,0,0,0
3038200,30382,122,Consumption,0,0,0,0,0,0
3038300,30383,122,Consumption,0,0,0,0,0,0
3038400,30384,122,Consumption,290916,70530,0,11640,27905,120482
3038900,30389,122,Consumption,77925296,76801920,71778088,86126848,17543966,75501768
3039120,30391,122,Consumption,0,0,0,0,0,0
3039140,30391,122,Consumption,0,0,544763,961754,0,181587.6719
3039200,30392,122,Consumption,0,0,0,0,0,0
3039900,30399,122,Consumption,0,0,12900,0,41819,4300
3043100,30431,122,Consumption,0,0,0,0,0,0
3043200,30432,122,Consumption,1427601,2753605,2085314,989515,0,2088840
3043300,30433,122,Consumption,0,326574,125555,214620,362450,150709.6719
3043900,30439,122,Consumption,259322,318225,456853,166562,0,344800
3044100,30441,122,Consumption,3659495,3259202,7089256,2630797,30163,4669317.5
3044200,30442,122,Consumption,0,0,0,0,0,0
3044300,30443,122,Consumption,1400113,1638519,3191818,1160402,0,2076816.625
3044400,30444,122,Consumption,883923,610416,1097314,1293193,100800,863884.3125
3044500,30445,122,Consumption,0,0,0,0,0,0
3044600,30446,122,Consumption,0,0,0,0,0,0
3044700,30447,122,Consumption,0,0,0,0,0,0
3044800,30448,122,Consumption,0,0,0,0,0,0
3044901,30449,122,Consumption,0,0,156107,0,0,52035.66797
3045101,30451,122,Consumption,0,0,16380,0,0,5460
3045200,30452,122,Consumption,14833,155550,0,140560,0,56794.33203
3045300,30453,122,Consumption,423217,215854,422816,352766,515043,353962.3438
3045400,30454,122,Consumption,0,0,0,0,0,0
3045500,30455,122,Consumption,0,0,0,0,0,0
3045600,30456,122,Consumption,0,0,0,0,0,0
3045700,30457,122,Consumption,0,0,0,0,0,0
3045900,30459,122,Consumption,1814988,1357594,2425115,3284965,335764,1865899
3046100,30461,122,Consumption,580599360,429383648,386008128,395826368,80791488,465330368
3046200,30462,122,Consumption,30406904,34670304,36239192,31111724,8248532,33772132
3046300,30463,122,Consumption,0,0,75580,142810,0,25193.33398
3046900,30469,122,Consumption,6770831,5509047,6225808,1172878,153120,6168562
3047250,30472,122,Consumption,52496260,52951976,58896808,81656048,18268780,54781680
3047310,30473,122,Consumption,0,0,0,0,0,0
3047350,30473,122,Consumption,1595580,2436641,1996227,1169902,79860,2009482.625
3047410,30474,122,Consumption,76349,9356,0,0,0,28568.33398
3047450,30474,122,Consumption,1570913,1751435,3363576,1744596,1199058,2228641.25
3047910,30479,122,Consumption,4208888,17709072,14610296,8054537,241813,12176085
3047950,30479,122,Consumption,9612973,29751408,29897932,30050694,3723830,23087438
3048110,30481,122,Consumption,13380307,11352971,13257617,9774288,4156090,12663632
3048150,30481,122,Consumption,189995024,176555632,216388656,259633344,89246408,194313104
3048210,30482,122,Consumption,117476,0,76800,0,0,64758.66797
3048250,30482,122,Consumption,135974,39741,0,0,0,58571.66797
3048310,30483,122,Consumption,7682637,6204564,6549595,8897047,892280,6812265.5
3048350,30483,122,Consumption,86008552,84993008,87643312,115584992,14277066,86214960
3048400,30484,122,Consumption,0,0,0,0,0,0
3048500,30485,122,Consumption,0,0,0,0,0,0
3048600,30486,122,Consumption,0,0,0,0,0,0
3048700,30487,122,Consumption,6439181,14075151,13826631,9687953,1917134,11446988
3048800,30488,122,Consumption,0,0,16179,0,0,5393
3048910,30489,122,Consumption,5407577,6229622,2911766,845186,161804,4849655
3048950,30489,122,Consumption,35988500,32538836,30660326,32243620,6080252,33062554
3049110,30491,122,Consumption,0,0,0,0,0,0
3049190,30491,122,Consumption,0,0,0,0,0,0
3049210,30492,122,Consumption,0,0,0,0,0,0
3049290,30492,122,Consumption,0,0,0,0,0,0
3049310,30493,122,Consumption,460188,227260,389792,0,0,359080
3049390,30493,122,Consumption,0,0,0,0,0,0
3049490,30494,122,Consumption,0,4800,0,0,0,1600
3049510,30495,122,Consumption,603917,1387394,2409180,2017786,411646,1466830.375
3049600,30496,122,Consumption,0,0,0,0,0,0
3049700,30497,122,Consumption,0,0,0,0,0,0
3049911,30499,122,Consumption,1370749,3343548,2049079,1056769,65086,2254458.75
3049991,30499,122,Consumption,57393,376167,33469,50378,55018,155676.3281
3051020,30510,121,Intermediate,392105,213447,532559,273492,211295,379370.3438
3051040,30510,121,Intermediate,5950,5950,0,12101,0,3966.666748
3052020,30520,122,Consumption,0,0,0,0,0,0
3052040,30520,122,Consumption,0,338398,386246,681600,0,241548
3053101,30531,122,Consumption,0,0,2371809,4171379,641349,790603
3053200,30532,122,Consumption,24520976,21201344,31035822,35332444,10379542,25586048
3053920,30539,122,Consumption,0,0,0,14837,10746,0
3053940,30539,122,Consumption,21485,0,14550,106605,48354,12011.66699
3053961,30539,122,Consumption,0,0,4751330,1696749,499462,1583776.625
3054100,30541,122,Consumption,2706838,1416807,873748,0,0,1665797.625
3054200,30542,122,Consumption,5681,0,0,4633,0,1893.666626
3054300,30543,122,Consumption,0,0,0,0,0,0
3054401,30544,122,Consumption,0,0,0,0,0,0
3054920,30549,122,Consumption,411349,336215,270657,121355,11628,339407
3054940,30549,122,Consumption,333750,483518,171535,84710,4300,329601
3055100,30551,112,Consumption,3823569,3242187,1936816,729371,240635,3000857.25
3055200,30552,112,Consumption,0,0,0,93112,0,0
3055300,30553,112,Consumption,0,0,0,0,0,0
3055400,30554,112,Consumption,0,0,45455,10183,31661,15151.66699
3055900,30559,112,Consumption,4350698,2235859,2567588,2157530,253182,3051381.75
3056120,30561,112,Consumption,6485,0,0,0,0,2161.666748
3056140,30561,112,Consumption,0,207614,0,0,0,69204.66406
3056200,30562,112,Consumption,0,0,0,0,2315,0
3056320,30563,112,Consumption,0,0,0,0,0,0
3056340,30563,112,Consumption,0,0,0,4250,0,0
3056360,30563,112,Consumption,0,141044,0,5000,8360,47014.66797
3056410,30564,112,Consumption,293651,75884,247288,261075,12313,205607.6719
3056450,30564,112,Consumption,102580,32292,0,0,0,44957.33203
3056910,30569,112,Consumption,4114232,6111399,7517245,7118775,1808300,5914292
3056920,30569,112,Consumption,804315,1115274,1122612,1140940,357972,1014067
3056930,30569,112,Consumption,115601,179822,265983,523000,67708,187135.3281
3056940,30569,112,Consumption,0,0,0,0,0,0
3056950,30569,112,Consumption,514675,777364,562485,673485,118487,618174.6875
3056960,30569,112,Consumption,103777,27982,33025,22475,0,54928
3057100,30571,0,Multiple,0,14279,0,0,0,4759.666504
3057200,30572,0,Multiple,21928,185014,534180,361122,0,247040.6719
3057900,30579,0,Multiple,0,84473,44900,183127,51300,43124.33203
3061100,30611,0,Multiple,4368059,10077965,6014347,2408433,28280,6820123.5
3061200,30612,0,Multiple,5146,0,0,2365521,465637,1715.333374
3061420,30614,112,Consumption,1851907,1868897,4100820,4431518,1434844,2607208
3061440,30614,122,Consumption,17538730,19763516,31013112,32717712,2882952,22771786
3061500,30615,0,Multiple,0,0,0,0,0,0
3061600,30616,0,Multiple,128638,369510,224736,352185,0,240961.3281
3061700,30617,0,Multiple,30016466,58921504,103466432,92905136,1809886,64134800
3061900,30619,0,Multiple,7478547,11238860,12375728,5676619,431113,10364378
3063100,30631,0,Multiple,0,0,0,0,0,0
3063200,30632,0,Multiple,0,0,0,0,0,0
3063320,30633,112,Consumption,0,0,0,0,0,0
3063340,30633,122,Consumption,0,0,27264,0,0,9088
3063400,30634,122,Consumption,0,0,0,0,0,0
3063500,30635,0,Multiple,0,0,1539061,1100840,296344,513020.3438
3063600,30636,0,Multiple,0,0,2915981,1363376,84199,971993.6875
3063900,30639,122,Consumption,0,0,0,0,0,0
3069100,30691,0,Multiple,0,0,0,0,0,0
3069200,30692,0,Multiple,0,0,0,0,0,0
3069320,30693,112,Consumption,0,0,0,0,0,0
3069340,30693,122,Consumption,0,0,39344,13885,9394,13114.66699
3069400,30694,122,Consumption,0,0,0,0,0,0
3069500,30695,0,Multiple,0,0,1348592,1193489,146436,449530.6563
3069900,30699,122,Consumption,0,0,9962,0,0,3320.666748
3071100,30711,112,Consumption,38558,31980,0,0,0,23512.66602
3071200,30712,0,Multiple,0,0,0,0,0,0
3071901,30719,0,Multiple,0,0,216000,0,0,72000
3072100,30721,112,Consumption,0,0,42000,0,0,14000
